word,count
river,228
four,227
fell,227
war,227
summer,226
ring,226
wants,226
ice,226
gets,226
grab,226
block,225
funk,225
loves,224
most,224
called,224
bet,223
promise,220
nice,220
apart,219
bit,219
afraid,217
lips,215
n,214
already,214
cash,214
spend,213
minute,213
wont,212
stupid,212
five,212
earth,211
you'd,211
running,211
rise,210
speak,210
train,210
wear,210
weed,210
de,209
missy,208
we've,208
couple,207
family,207
holy,207
seem,207
cuz,206
whats,206
keys,206
story,204
yours,204
wouldn't,204
spit,203
dirty,203
shut,202
takes,202
ok,202
kick,202
yea,202
calling,202
father,201
welcome,201
fear,201
follow,201
re,200
livin,200
lies,199
hundred,199
above,198
doesn't,198
jack,198
diamond,198
freak,198
ay,197
1,197
wasn't,196
which,196
scream,195
worry,195
ball,194
small,194
blame,193
ma,193
bust,193
drunk,193
style,193
bone,192
shoot,192
laugh,192
across,191
taste,190
died,190
space,189
write,189
voice,189
against,189
dj,188
imma,188
thousand,188
great,187
somewhere,187
woo,187
worth,186
hide,186
bang,186
sign,186
goodbye,186
diamonds,185
brain,185
looked,184
ten,184
joy,183
higher,183
learn,183
six,182
favorite,182
cannot,182
scared,181
key,181
ones,181
sexy,179
meant,179
reach,179
paper,179
crack,179
track,179
second,179
brand,179
dear,179
fill,178
picture,178
stick,177
future,177
shoes,176
everyone,176
momma,176
runnin,176
brown,175
walking,175
lovin,175
outta,174
fucked,174
makin,174
breath,173
business,173
almost,173
sad,172
tree,172
cars,172
knees,172
prayer,172
turned,171
treat,171
keeps,171
bum,170
falling,170
guy,170
lift,170
peace,169
breathe,168
looks,167
supposed,166
naked,165
everywhere,165
kinda,165
probably,165
paid,165
fresh,164
spot,164
piece,164
mirror,163
callin,163
singing,163
few,162
takin,162
outside,162
yah,162
funny,162
bridge,161
quick,161
ran,161
homie,161
giving,160
grow,159
ur,159
thinkin,159
queen,159
anymore,158
playing,158
ll,158
hang,158
telling,158
skin,157
anybody,157
magic,157
dancing,157
carry,157
least,157
means,157
fat,156
yellow,156
rather,156
jump,156
stone,155
mary,155
wings,155
near,155
needs,154
o,154
cup,154
nowhere,153
glad,153
job,153
booty,153
kid,153
bobby,152
fake,152
asked,152
nights,151
human,151
p,151
birthday,150
reasons,150
tear,150
everyday,149
leaving,149
bottom,149
michael,149
wayne,148
fix,148
wife,147
hoe,147
grind,147
played,147
angel,147
teeth,147
cross,147
playin,147
shout,146
crying,146
wet,145
g,145
kanye,144
fame,144
dress,144
west,144
finally,144
known,144
middle,144
benz,144
miles,144
ye,143
none,143
fingers,143
ways,142
twenty,142
yesterday,142
unless,142
workin,141
aye,139
knock,139
point,139
strange,139
less,139
empty,139
versace,138
fact,138
stuck,138
boss,138
clouds,138
songs,138
warm,138
walked,138
bar,137
single,137
burning,136
weak,136
faith,136
clean,136
mom,136
yeezy,135
type,135
blues,134
team,134
hour,134
ahead,133
band,133
watching,133
movie,133
c'mon,133
shady,133
sister,133
khaled,133
park,132
sunshine,132
chain,132
john,132
quit,132
clear,132
south,132
mess,131
sell,131
loud,131
mommy,130
3,129
motherfuckin,129
blind,129
wine,129
sir,129
holding,128
sitting,128
monster,128
cat,128
answer,128
sight,128
jeans,128
dumb,128
hearts,128
cried,128
news,127
uhh,127
rush,127
lives,127
sorrow,127
lead,127
b,127
cali,126
table,126
christmas,126
plus,126
soft,126
fish,126
shots,126
seven,125
needed,125
handle,125
rolling,125
